inning,half,outs,base,scoreDiffHome,weHome
1,top,0,0,-10,0.0516
1,top,0,0,-9,0.0677
1,top,0,0,-8,0.0885
1,top,0,0,-7,0.1149
1,top,0,0,-6,0.1478
1,top,0,0,-5,0.1882
1,top,0,0,-4,0.2365
1,top,0,0,-3,0.2928
1,top,0,0,-2,0.3562
1,top,0,0,-1,0.4251
1,top,0,0,0,0.497
1,top,0,0,1,0.5691
1,top,0,0,2,0.6383
1,top,0,0,3,0.7022
1,top,0,0,4,0.7591
1,top,0,0,5,0.8081
1,top,0,0,6,0.8492
1,top,0,0,7,0.8827
1,top,0,0,8,0.9095
1,top,0,0,9,0.9307
1,top,0,0,10,0.9473
1,top,0,1,-10,0.0522
1,top,0,1,-9,0.0686
1,top,0,1,-8,0.0896
1,top,0,1,-7,0.1162
1,top,0,1,-6,0.1494
1,top,0,1,-5,0.1902
1,top,0,1,-4,0.2388
1,top,0,1,-3,0.2955
1,top,0,1,-2,0.3592
1,top,0,1,-1,0.4282
1,top,0,1,0,0.5002
1,top,0,1,1,0.5722
1,top,0,1,2,0.6413
1,top,0,1,3,0.705
1,top,0,1,4,0.7615
1,top,0,1,5,0.8102
1,top,0,1,6,0.8508
1,top,0,1,7,0.884
1,top,0,1,8,0.9106
1,top,0,1,9,0.9316
1,top,0,1,10,0.9479
1,top,0,2,-10,0.053
1,top,0,2,-9,0.0695
1,top,0,2,-8,0.0908
1,top,0,2,-7,0.1177
1,top,0,2,-6,0.1514
1,top,0,2,-5,0.1925
1,top,0,2,-4,0.2416
1,top,0,2,-3,0.2986
1,top,0,2,-2,0.3626
1,top,0,2,-1,0.4319
1,top,0,2,0,0.504
1,top,0,2,1,0.5759
1,top,0,2,2,0.6447
1,top,0,2,3,0.7081
1,top,0,2,4,0.7642
1,top,0,2,5,0.8124
1,top,0,2,6,0.8527
1,top,0,2,7,0.8855
1,top,0,2,8,0.9118
1,top,0,2,9,0.9325
1,top,0,2,10,0.9486
1,top,0,3,-10,0.0536
1,top,0,3,-9,0.0704
1,top,0,3,-8,0.0919
1,top,0,3,-7,0.1191
1,top,0,3,-6,0.153
1,top,0,3,-5,0.1945
1,top,0,3,-4,0.244
1,top,0,3,-3,0.3013
1,top,0,3,-2,0.3656
1,top,0,3,-1,0.4351
1,top,0,3,0,0.5072
1,top,0,3,1,0.5791
1,top,0,3,2,0.6477
1,top,0,3,3,0.7107
1,top,0,3,4,0.7666
1,top,0,3,5,0.8144
1,top,0,3,6,0.8543
1,top,0,3,7,0.8869
1,top,0,3,8,0.9129
1,top,0,3,9,0.9333
1,top,0,3,10,0.9493
1,top,0,4,-10,0.0536
1,top,0,4,-9,0.0704
1,top,0,4,-8,0.0919
1,top,0,4,-7,0.1191
1,top,0,4,-6,0.153
1,top,0,4,-5,0.1945
1,top,0,4,-4,0.244
1,top,0,4,-3,0.3013
1,top,0,4,-2,0.3656
1,top,0,4,-1,0.4351
1,top,0,4,0,0.5072
1,top,0,4,1,0.5791
1,top,0,4,2,0.6477
1,top,0,4,3,0.7107
1,top,0,4,4,0.7666
1,top,0,4,5,0.8144
